,action,step,s_X0,s_X1,s_X2,s_X3,s_X4,s_X5,s_X6,s_X7,s_X8,s_X9,s_X10,s_X11,s_X12,s_X13,s_X14,s_X15,s_X16,s_X17,s_X18,s_X19
0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,REST_X0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,[X0_X5_GET_req],2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,REST_X5,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,REST_X5,4,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,[X5_X15_GET_req],5,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,REST_X15,6,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0
7,REST_X15,7,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,9,0,0,0,0
8,[X15_X13_GET_req],8,3,0,0,0,0,10,0,0,0,0,0,0,0,1,0,10,0,0,0,0
9,REST_X13,9,3,0,0,0,0,10,0,0,0,0,0,0,0,2,0,10,0,0,0,0
10,REST_X13,10,3,0,0,0,0,10,0,0,0,0,0,0,0,3,0,10,0,0,0,0
11,[X15_X13_GET_resp_2xx],11,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0
12,[X5_X15_GET_resp_2xx],12,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,[X0_X5_GET_resp_2xx],13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,REST_X0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,[X0_X5_GET_req],15,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,REST_X5,16,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,REST_X5,17,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,[X5_X15_GET_req],18,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,REST_X15,19,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0
20,REST_X15,20,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0
21,[X15_X12_GET_req],21,3,0,0,0,0,10,0,0,0,0,0,0,1,0,0,6,0,0,0,0
22,REST_X12,22,3,0,0,0,0,10,0,0,0,0,0,0,2,0,0,6,0,0,0,0
23,REST_X12,23,3,0,0,0,0,10,0,0,0,0,0,0,3,0,0,6,0,0,0,0
24,[X15_X12_GET_resp_2xx],24,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0
25,[X5_X15_GET_resp_2xx],25,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,[X0_X5_GET_resp_2xx],26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,REST_X0,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,[X0_X5_GET_req],28,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,REST_X5,29,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,REST_X5,30,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,[X5_X17_GET_req],31,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,REST_X17,32,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0
