,action,step,s_X0,s_X1,s_X2,s_X3,s_X4,s_X5,s_X6,s_X7,s_X8,s_X9,s_X10,s_X11,s_X12,s_X13,s_X14,s_X15,s_X16,s_X17,s_X18,s_X19
0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,REST_X0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,[X0_X4_GET_req],2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,REST_X4,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,REST_X4,4,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,[X0_X4_GET_resp_5xx],5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,[X0_X4_GET_req],6,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,REST_X4,7,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,REST_X4,8,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,[X0_X4_GET_resp_2xx],9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,REST_X0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,[X0_X4_GET_req],11,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,REST_X4,12,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,REST_X4,13,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,[X0_X4_GET_resp_2xx],14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,REST_X0,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,[X0_X6_GET_req],16,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,REST_X6,17,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
18,REST_X6,18,11,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
19,[X6_X16_GET_req],19,11,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0
20,REST_X16,20,11,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0
21,REST_X16,21,11,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0
22,[X16_X19_GET_req],22,11,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,1
23,REST_X19,23,11,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,2
24,REST_X19,24,11,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,0,5
25,[X19_X18_GET_req],25,11,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,1,6
26,REST_X18,26,11,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,2,6
27,REST_X18,27,11,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,6,0,5,6
28,[X18_X9_GET_req],28,11,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,6,0,6,6
29,REST_X9,29,11,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,6,0,6,6
30,REST_X9,30,11,0,0,0,0,0,10,0,0,9,0,0,0,0,0,0,6,0,6,6
31,[X9_X1_GET_req],31,11,1,0,0,0,0,10,0,0,10,0,0,0,0,0,0,6,0,6,6
32,REST_X1,32,11,2,0,0,0,0,10,0,0,10,0,0,0,0,0,0,6,0,6,6
