action,step,time,p,p2,p3,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3,f,b2,serving11,serving12,serving13,c11,getting11,c12,getting12,c13,getting13
-,0,0.0,0,0,0,0,false,false,false,0,false,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[producing],1,20.186273006380535,1,0,0,1,false,false,false,0,false,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[producing2],2,24.98921987300661,1,1,0,2,false,false,false,0,false,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[con_ready1],3,26.161403066893115,1,1,0,2,true,false,false,0,true,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[consuming1],4,29.333339288380387,1,1,0,1,false,false,false,1,false,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[producing3],5,31.618459631704358,1,1,1,2,false,false,false,1,false,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[producing],6,31.861181890611743,2,1,1,3,false,false,false,1,false,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[con_ready3],7,83.62369447279254,2,1,1,3,false,false,true,1,false,0,false,0,true,0,0,false,false,false,0,false,0,false,0,false
[consuming3],8,83.95046793920916,2,1,1,2,false,false,false,1,false,0,false,1,false,0,0,false,false,false,0,false,0,false,0,false
[con_ready2],9,84.16105547287698,2,1,1,2,false,true,false,1,false,0,true,1,false,0,0,false,false,false,0,false,0,false,0,false
[consuming2],10,86.39522532315183,2,1,1,1,false,false,false,1,false,1,false,1,false,0,0,false,false,false,0,false,0,false,0,false
[con_ready2],11,90.90406024186768,2,1,1,1,false,true,false,1,false,1,true,1,false,0,0,false,false,false,0,false,0,false,0,false
[consuming2],12,93.23964724492454,2,1,1,0,false,false,false,1,false,2,false,1,false,0,0,false,false,false,0,false,0,false,0,false
[producing],13,119.07649845340012,3,1,1,1,false,false,false,1,false,2,false,1,false,0,0,false,false,false,0,false,0,false,0,false
[con_ready3],14,119.13380482660436,3,1,1,1,false,false,true,1,false,2,false,1,true,0,0,false,false,false,0,false,0,false,0,false
[consuming3],15,121.56121536151116,3,1,1,0,false,false,false,1,false,2,false,2,false,0,0,false,false,false,0,false,0,false,0,false
[forwarding],16,127.4356047867296,3,1,1,0,false,false,false,1,false,2,false,2,false,1,1,false,false,false,0,false,0,false,0,false
[producing],17,142.24871914715592,4,1,1,1,false,false,false,1,false,2,false,2,false,1,1,false,false,false,0,false,0,false,0,false
[con_ready1],18,145.75943036716052,4,1,1,1,true,false,false,1,true,2,false,2,false,1,1,false,false,false,0,false,0,false,0,false
[consuming1],19,146.2100194274551,4,1,1,0,false,false,false,2,false,2,false,2,false,1,1,false,false,false,0,false,0,false,0,false
[con_ready11],20,147.38107379347605,4,1,1,0,false,false,false,2,false,2,false,2,false,1,1,true,false,false,0,true,0,false,0,false
[consuming11],21,147.42133932049114,4,1,1,0,false,false,false,2,false,2,false,2,false,1,0,false,false,false,1,false,0,false,0,false
[producing],22,147.88400599970294,5,1,1,1,false,false,false,2,false,2,false,2,false,1,0,false,false,false,1,false,0,false,0,false
[con_ready2],23,148.53105969857836,5,1,1,1,false,true,false,2,false,2,true,2,false,1,0,false,false,false,1,false,0,false,0,false
[consuming2],24,148.71952077758007,5,1,1,0,false,false,false,2,false,3,false,2,false,1,0,false,false,false,1,false,0,false,0,false
[forwarding],25,156.9244060660214,5,1,1,0,false,false,false,2,false,3,false,2,false,2,1,false,false,false,1,false,0,false,0,false
[con_ready12],26,171.23291714062702,5,1,1,0,false,false,false,2,false,3,false,2,false,2,1,false,true,false,1,false,0,true,0,false
[consuming12],27,177.20238324740396,5,1,1,0,false,false,false,2,false,3,false,2,false,2,0,false,false,false,1,false,1,false,0,false
[producing],28,201.04845181082786,6,1,1,1,false,false,false,2,false,3,false,2,false,2,0,false,false,false,1,false,1,false,0,false
[producing2],29,211.2049476470496,6,2,1,2,false,false,false,2,false,3,false,2,false,2,0,false,false,false,1,false,1,false,0,false
[producing3],30,212.0322183952681,6,2,2,3,false,false,false,2,false,3,false,2,false,2,0,false,false,false,1,false,1,false,0,false
[con_ready2],31,227.59645901673895,6,2,2,3,false,true,false,2,false,3,true,2,false,2,0,false,false,false,1,false,1,false,0,false
[consuming2],32,227.75890022260916,6,2,2,2,false,false,false,2,false,4,false,2,false,2,0,false,false,false,1,false,1,false,0,false
[producing3],33,232.27790995203293,6,2,3,3,false,false,false,2,false,4,false,2,false,2,0,false,false,false,1,false,1,false,0,false
[con_ready1],34,235.469917971858,6,2,3,3,true,false,false,2,true,4,false,2,false,2,0,false,false,false,1,false,1,false,0,false
[consuming1],35,238.79797977530868,6,2,3,2,false,false,false,3,false,4,false,2,false,2,0,false,false,false,1,false,1,false,0,false
[producing3],36,243.37134260262627,6,2,4,3,false,false,false,3,false,4,false,2,false,2,0,false,false,false,1,false,1,false,0,false
[con_ready2],37,254.33341701813742,6,2,4,3,false,true,false,3,false,4,true,2,false,2,0,false,false,false,1,false,1,false,0,false
[consuming2],38,255.44861682413082,6,2,4,2,false,false,false,3,false,5,false,2,false,2,0,false,false,false,1,false,1,false,0,false
