,action,step,s_X0,s_X1,s_X2,s_X3,s_X4,s_X5,s_X6
0,-,0,0,0,0,0,0,0,0
1,REST_X0,1,2,0,0,0,0,0,0
2,[X0_X1_GET_req],2,3,1,0,0,0,0,0
3,REST_X1,3,3,2,0,0,0,0,0
4,REST_X1,4,3,11,0,0,0,0,0
5,[X1_X2_GET_req],5,3,12,1,0,0,0,0
6,REST_X2,6,3,12,2,0,0,0,0
7,REST_X2,7,3,12,5,0,0,0,0
8,[X2_X6_GET_req],8,3,12,6,0,0,0,1
9,REST_X6,9,3,12,6,0,0,0,2
10,REST_X6,10,3,12,6,0,0,0,3
11,[X2_X6_GET_resp_2xx],11,3,12,3,0,0,0,0
12,[X1_X2_GET_resp_2xx],12,3,3,0,0,0,0,0
13,[X0_X1_GET_resp_2xx],13,0,0,0,0,0,0,0
14,REST_X0,14,2,0,0,0,0,0,0
15,[X0_X1_GET_req],15,3,1,0,0,0,0,0
16,REST_X1,16,3,2,0,0,0,0,0
17,REST_X1,17,3,11,0,0,0,0,0
18,[X1_X2_GET_req],18,3,12,1,0,0,0,0
19,REST_X2,19,3,12,2,0,0,0,0
20,REST_X2,20,3,12,5,0,0,0,0
21,[X2_X6_GET_req],21,3,12,6,0,0,0,1
22,REST_X6,22,3,12,6,0,0,0,2
23,REST_X6,23,3,12,6,0,0,0,3
24,[X2_X6_GET_resp_2xx],24,3,12,3,0,0,0,0
25,[X1_X2_GET_resp_2xx],25,3,3,0,0,0,0,0
26,[X0_X1_GET_resp_2xx],26,0,0,0,0,0,0,0
27,REST_X0,27,2,0,0,0,0,0,0
28,[X0_X1_GET_req],28,3,1,0,0,0,0,0
29,REST_X1,29,3,2,0,0,0,0,0
30,REST_X1,30,3,5,0,0,0,0,0
31,[X1_X4_GET_req],31,3,6,0,0,1,0,0
32,REST_X4,32,3,6,0,0,2,0,0
33,REST_X4,33,3,6,0,0,5,0,0
34,[X4_X3_GET_req],34,3,6,0,1,6,0,0
35,REST_X3,35,3,6,0,2,6,0,0
36,REST_X3,36,3,6,0,3,6,0,0
37,[X4_X3_GET_resp_2xx],37,3,6,0,0,3,0,0
38,[X1_X4_GET_resp_2xx],38,3,3,0,0,0,0,0
39,[X0_X1_GET_resp_2xx],39,0,0,0,0,0,0,0
40,REST_X0,40,2,0,0,0,0,0,0
41,[X0_X1_GET_req],41,3,1,0,0,0,0,0
42,REST_X1,42,3,2,0,0,0,0,0
43,REST_X1,43,3,5,0,0,0,0,0
44,[X1_X4_GET_req],44,3,6,0,0,1,0,0
45,REST_X4,45,3,6,0,0,2,0,0
46,REST_X4,46,3,6,0,0,5,0,0
47,[X4_X3_GET_req],47,3,6,0,1,6,0,0
48,REST_X3,48,3,6,0,2,6,0,0
49,REST_X3,49,3,6,0,3,6,0,0
50,[X4_X3_GET_resp_2xx],50,3,6,0,0,3,0,0
51,[X1_X4_GET_resp_2xx],51,3,3,0,0,0,0,0
52,[X0_X1_GET_resp_2xx],52,0,0,0,0,0,0,0
53,REST_X0,53,2,0,0,0,0,0,0
54,[X0_X1_GET_req],54,3,1,0,0,0,0,0
55,REST_X1,55,3,2,0,0,0,0,0
56,REST_X1,56,3,5,0,0,0,0,0
57,[X1_X4_GET_req],57,3,6,0,0,1,0,0
58,REST_X4,58,3,6,0,0,2,0,0
59,REST_X4,59,3,6,0,0,5,0,0
60,[X4_X3_GET_req],60,3,6,0,1,6,0,0
61,REST_X3,61,3,6,0,2,6,0,0
62,REST_X3,62,3,6,0,3,6,0,0
63,[X4_X3_GET_resp_2xx],63,3,6,0,0,3,0,0
64,[X1_X4_GET_resp_2xx],64,3,3,0,0,0,0,0
65,[X0_X1_GET_resp_2xx],65,0,0,0,0,0,0,0
66,REST_X0,66,2,0,0,0,0,0,0
67,[X0_X1_GET_req],67,3,1,0,0,0,0,0
68,REST_X1,68,3,2,0,0,0,0,0
69,REST_X1,69,3,5,0,0,0,0,0
70,[X1_X4_GET_req],70,3,6,0,0,1,0,0
71,REST_X4,71,3,6,0,0,2,0,0
72,REST_X4,72,3,6,0,0,5,0,0
73,[X4_X3_GET_req],73,3,6,0,1,6,0,0
74,REST_X3,74,3,6,0,2,6,0,0
75,REST_X3,75,3,6,0,3,6,0,0
76,[X4_X3_GET_resp_2xx],76,3,6,0,0,3,0,0
77,[X1_X4_GET_resp_2xx],77,3,3,0,0,0,0,0
78,[X0_X1_GET_resp_2xx],78,0,0,0,0,0,0,0
79,REST_X0,79,2,0,0,0,0,0,0
80,[X0_X1_GET_req],80,3,1,0,0,0,0,0
81,REST_X1,81,3,2,0,0,0,0,0
82,REST_X1,82,3,5,0,0,0,0,0
83,[X1_X4_GET_req],83,3,6,0,0,1,0,0
84,REST_X4,84,3,6,0,0,2,0,0
85,REST_X4,85,3,6,0,0,11,0,0
86,[X4_X5_GET_req],86,3,6,0,0,12,1,0
87,REST_X5,87,3,6,0,0,12,2,0
88,REST_X5,88,3,6,0,0,12,3,0
89,[X4_X5_GET_resp_2xx],89,3,6,0,0,3,0,0
90,[X1_X4_GET_resp_2xx],90,3,3,0,0,0,0,0
91,[X0_X1_GET_resp_2xx],91,0,0,0,0,0,0,0
92,REST_X0,92,2,0,0,0,0,0,0
93,[X0_X1_GET_req],93,3,1,0,0,0,0,0
94,REST_X1,94,3,2,0,0,0,0,0
95,REST_X1,95,3,5,0,0,0,0,0
96,[X1_X4_GET_req],96,3,6,0,0,1,0,0
97,REST_X4,97,3,6,0,0,2,0,0
98,REST_X4,98,3,6,0,0,11,0,0
99,[X4_X5_GET_req],99,3,6,0,0,12,1,0
100,REST_X5,100,3,6,0,0,12,2,0
101,REST_X5,101,3,6,0,0,12,3,0
102,[X4_X5_GET_resp_2xx],102,3,6,0,0,3,0,0
103,[X1_X4_GET_resp_2xx],103,3,3,0,0,0,0,0
104,[X0_X1_GET_resp_2xx],104,0,0,0,0,0,0,0
105,REST_X0,105,2,0,0,0,0,0,0
106,[X0_X1_GET_req],106,3,1,0,0,0,0,0
107,REST_X1,107,3,2,0,0,0,0,0
108,REST_X1,108,3,11,0,0,0,0,0
109,[X1_X2_GET_req],109,3,12,1,0,0,0,0
110,REST_X2,110,3,12,2,0,0,0,0
111,REST_X2,111,3,12,5,0,0,0,0
112,[X2_X6_GET_req],112,3,12,6,0,0,0,1
113,REST_X6,113,3,12,6,0,0,0,2
114,REST_X6,114,3,12,6,0,0,0,3
115,[X2_X6_GET_resp_2xx],115,3,12,3,0,0,0,0
116,[X1_X2_GET_resp_2xx],116,3,3,0,0,0,0,0
117,[X0_X1_GET_resp_2xx],117,0,0,0,0,0,0,0
118,REST_X0,118,2,0,0,0,0,0,0
119,[X0_X1_GET_req],119,3,1,0,0,0,0,0
120,REST_X1,120,3,2,0,0,0,0,0
121,REST_X1,121,3,5,0,0,0,0,0
122,[X1_X4_GET_req],122,3,6,0,0,1,0,0
123,REST_X4,123,3,6,0,0,2,0,0
124,REST_X4,124,3,6,0,0,5,0,0
125,[X4_X3_GET_req],125,3,6,0,1,6,0,0
126,REST_X3,126,3,6,0,2,6,0,0
127,REST_X3,127,3,6,0,3,6,0,0
128,[X4_X3_GET_resp_2xx],128,3,6,0,0,3,0,0
129,[X1_X4_GET_resp_2xx],129,3,3,0,0,0,0,0
130,[X0_X1_GET_resp_2xx],130,0,0,0,0,0,0,0
